Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
Apoptosis,0.23024926826629138,1.7373186087705959,0.0,0.01862717685477787,143,123,AKT1;MAP2K1;MAPK1;TP53;KRAS;LMNB2;RAF1;PARP1;BCL2L1;PDPK1;GADD45A;MCL1;PRF1;ITPR1;CTSD;IL3RA;EIF2S1;BIRC3;NRAS;DFFA;BCL2A1;CASP7;NFKB1;BID;DIABLO;CASP3;MAPK9;TNFRSF10A;FAS;FADD;CASP10;SPTAN1;MAPK8;BIRC5;PIK3CA;CASP9;EIF2AK3;ACTB;CTSH;HRK;CTSK;MAP3K5;BECN1;DDIT3;BIRC6;RELA;LMNA;BAX;PMAIP1;JUN;BAD;NFKBIA;BCL2;PARP2;PIK3CD;AIFM1;CFLAR;MAPK3;TUBA1A;TNFRSF1A;BIRC2;MAP3K14;BBC3;CASP8;GADD45B;PIK3R3;IKBKG;TUBA4A;TUBA8;DAXX;MAP2K2;NGFR;CTSB;PARP4;NTRK1;BAK1;FASLG;PIK3R2;CTSL;SPTA1;FOS;CASP2;NGF;TRAF1;ENDOG;TRAF2;HRAS;ATM;ATF4;PIK3R1;HTRA2;CTSC;PIK3CB;ERN1;CHUK;RIPK1;TUBA1C;ITPR2;AKT3;TRADD;CTSW;XIAP;CYCS;BIRC7;ITPR3;TNF;CTSS;GZMB;BCL2L11;APAF1;CASP6;TNFSF10;TUBA1B;CTSF;CSF2RB;IKBKB;AKT2;CAPN1;TNFRSF10B;DFFB;TUBA3C;ACTG1;MAPK10,AKT1;MAP2K1;MAPK1;TP53;KRAS;LMNB2;RAF1;PARP1;BCL2L1;PDPK1;GADD45A;MCL1;PRF1;ITPR1;CTSD;IL3RA;EIF2S1;BIRC3;NRAS;DFFA;BCL2A1;CASP7;NFKB1;BID;DIABLO;CASP3;MAPK9;TNFRSF10A;FAS;FADD;CASP10;SPTAN1;MAPK8;BIRC5;PIK3CA;CASP9;EIF2AK3;ACTB;CTSH;HRK;CTSK;MAP3K5;BECN1;DDIT3;BIRC6;RELA;LMNA;BAX;PMAIP1;JUN;BAD;NFKBIA;BCL2;PARP2;PIK3CD;AIFM1;CFLAR;MAPK3;TUBA1A;TNFRSF1A;BIRC2;MAP3K14;BBC3;CASP8;GADD45B;PIK3R3;IKBKG;TUBA4A;TUBA8;DAXX;MAP2K2;NGFR;CTSB;PARP4;NTRK1;BAK1
Proteoglycans in cancer,0.22365212210062232,1.7380647032798886,0.01,0.018702745298489983,201,164,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;HPSE;TP53;KRAS;RAF1;EGFR;WNT2;HIF1A;ITGB1;TGFB1;WNT11;PDPK1;ITGAV;PLAUR;CCND1;NANOG;RDX;ITGB5;ITPR1;PLCE1;SRC;MAPK12;MAPK14;NRAS;CTNNB1;MYC;RPS6KB2;SLC9A1;RHOA;PRKCB;GPC1;RAC1;FZD5;ERBB2;CAV2;TLR2;CDC42;PTK2;RRAS2;WNT1;CASP3;PRKACG;WNT5A;FZD8;TGFB2;PPP1CA;FAS;MTOR;FLNB;MAPK13;FGFR1;PIK3CA;MAPK11;ACTB;PRKACB;WNT9A;PRKCG;RPS6KB1;ERBB4;IL12B;HBEGF;RPS6;ESR1;STAT3;ELK1;PIK3CD;TLR4;SDC4;MAPK3;CDKN1A;CD63;FGF2;ITGA2;MET;SMAD2;FN1;IGF1;CAMK2A;TIMP3;TWIST2;CBL;PIK3R3;DCN;MAP2K2;HCLS1;SHH;PLCG2;ERBB3;FZD7;VEGFA;TWIST1;FASLG;PLCG1;PRKACA;ROCK1;PIK3R2;FZD10;CTSL;PLAU;FZD2;WNT10B;HSPG2;CAMK2G;PRKCA;CTTN;HRAS;PXN;PIK3R1;WNT3;PIK3CB;WNT9B;FZD9;IGF1R;FZD4;SDC1;IGF2;ITPR2;PAK1;AKT3;FZD6;FZD1;SMO;TIAM1;SOS2;MDM2;CAV3;ITPR3;TNF;PPP1CC;CAV1;ROCK2;IQGAP1;WNT7A;EIF4B;SDC2;IHH;KDR;CD44;ITGB3;PTCH1;CAMK2D;AKT2;MMP2;TFAP4;ARHGEF12;MMP9;FZD3;GAB1;FRS2;PTPN6;DDX5;DROSHA;PTPN11;SOS1;THBS1;WNT7B;ACTG1;HOXD10;CAMK2B,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;HPSE;TP53;KRAS;RAF1;EGFR;WNT2;HIF1A;ITGB1;TGFB1;WNT11;PDPK1;ITGAV;PLAUR;CCND1;NANOG;RDX;ITGB5;ITPR1;PLCE1;SRC;MAPK12;MAPK14;NRAS;CTNNB1;MYC;RPS6KB2;SLC9A1;RHOA;PRKCB;GPC1;RAC1;FZD5;ERBB2;CAV2;TLR2;CDC42;PTK2;RRAS2;WNT1;CASP3;PRKACG;WNT5A;FZD8;TGFB2;PPP1CA;FAS;MTOR;FLNB;MAPK13;FGFR1;PIK3CA;MAPK11;ACTB;PRKACB;WNT9A;PRKCG
Small cell lung cancer,0.2444533662096131,1.7213257374781017,0.01,0.020464347326049456,93,79,AKT1;MAX;TP53;ITGA6;ITGB1;BCL2L1;ITGAV;GADD45A;CDK4;CDK6;RXRA;CCND1;RXRG;BIRC3;CDK2;MYC;TRAF3;NFKB1;PTK2;CASP3;CKS2;PIK3CA;CASP9;E2F1;LAMB2;RELA;BAX;ITGA3;NFKBIA;BCL2;PIK3CD;ITGA2B;CDKN1A;SKP2;CDKN2B;BIRC2;ITGA2;RARB;PTEN;RB1;GADD45B;FN1;COL4A4;PIK3R3;IKBKG;COL4A3;FHIT;CDKN1B;BAK1;COL4A2;CKS1B;PIK3R2;DDB2;TRAF4;TRAF1;TRAF2;CCNE1;PIK3R1;PIK3CB;CHUK;NOS2;LAMB3;AKT3;COL4A5;RXRB;XIAP;CYCS;E2F3;BIRC7;APAF1;PTGS2;LAMB1;LAMA3;IKBKB;TRAF6;AKT2;CCNE2;TRAF5;ZBTB17,AKT1;MAX;TP53;ITGA6;ITGB1;BCL2L1;ITGAV;GADD45A;CDK4;CDK6;RXRA;CCND1;RXRG;BIRC3;CDK2;MYC;TRAF3;NFKB1;PTK2;CASP3;CKS2;PIK3CA;CASP9;E2F1;LAMB2;RELA;BAX;ITGA3;NFKBIA;BCL2;PIK3CD;ITGA2B;CDKN1A;SKP2;CDKN2B;BIRC2;ITGA2;RARB;PTEN;RB1;GADD45B;FN1;COL4A4;PIK3R3;IKBKG;COL4A3;FHIT;CDKN1B;BAK1;COL4A2;CKS1B;PIK3R2
Human immunodeficiency virus 1 infection,0.22181650932134606,1.70921030147774,0.01,0.02222821578875053,212,175,AKT1;MAP2K1;GNG4;MAPK1;PPP3CA;KRAS;CD3G;CRKL;CALM2;RAF1;GNB4;ATR;BCL2L1;NFATC3;ITPR1;TMEM173;APOBEC3D;MAPK12;CALM1;WEE1;GNG5;MAPK14;NRAS;B2M;RPS6KB2;CCNB1;CDK1;PPP3R1;PRKCB;NFATC2;RAC1;CXCR4;GNAI3;TLR2;NFKB1;BID;PTK2;CD247;CASP3;LIMK1;WEE2;CD4;CHEK1;MAPK9;GNG7;FAS;MTOR;MAP3K7;FADD;FBXW11;APOBEC3G;MAPK13;MAPK8;IFNA1;CALR;PIK3CA;CASP9;MAPK11;IFNA2;PRKCG;NFATC1;GNB5;GNG12;MAP2K3;RPS6KB1;RELA;BAX;CFL1;JUN;IFNA21;BAD;NFKBIA;BCL2;PAK4;NFATC4;TAP2;PIK3CD;TLR4;AP1B1;MAP2K6;HLA-A;GNG11;MAPK3;TAB2;TNFRSF1A;IFNA7;CASP8;CCR5;IRAK1;PAK3;SKP1;PIK3R3;IKBKG;GNAI2;MAP2K2;IFNA16;BTRC;PLCG2;CRK;BAK1;FASLG;PLCG1;GNAI1;IFNA10;MYD88;PIK3R2;IRF3;SAMHD1;CDC25C;GNB2;APOBEC3A;TBK1;HLA-B;MAP2K7;FOS;PRKCA;TRAF2;PPP3CC;HRAS;ATM;IFNB1;BST2;PXN;PIK3R1;RAC3;GNGT2;PIK3CB;CD3E;IFNA8;CALM3;CHUK;RIPK1;PAK2;LIMK2;PPP3R2;ITPR2;PAK1;AKT3;PPP3CB;TRADD;APOBEC3B;APOBEC3H;IRAK4;CD3D;IFNA14;CYCS;ITPR3;TNF;AP1S2;TNFRSF1B;IFNA5;CALML6;IFNA17;GNB1;TAP1;IKBKB;TRAF6;AKT2;IFNA4;RNF7;TRAF5;GNA11;TAPBP;CCNB2;PTK2B;GNAQ;PAK5;CUL4B;RBX1;GNG8;CUL5;CUL1;DDB1;PAK6;MAPK10,AKT1;MAP2K1;GNG4;MAPK1;PPP3CA;KRAS;CD3G;CRKL;CALM2;RAF1;GNB4;ATR;BCL2L1;NFATC3;ITPR1;TMEM173;APOBEC3D;MAPK12;CALM1;WEE1;GNG5;MAPK14;NRAS;B2M;RPS6KB2;CCNB1;CDK1;PPP3R1;PRKCB;NFATC2;RAC1;CXCR4;GNAI3;TLR2;NFKB1;BID;PTK2;CD247;CASP3;LIMK1;WEE2;CD4;CHEK1;MAPK9;GNG7;FAS;MTOR;MAP3K7;FADD;FBXW11;APOBEC3G;MAPK13;MAPK8;IFNA1;CALR;PIK3CA;CASP9;MAPK11;IFNA2;PRKCG;NFATC1;GNB5;GNG12;MAP2K3;RPS6KB1;RELA;BAX;CFL1;JUN;IFNA21;BAD;NFKBIA;BCL2;PAK4;NFATC4;TAP2;PIK3CD;TLR4;AP1B1;MAP2K6;HLA-A;GNG11;MAPK3;TAB2;TNFRSF1A;IFNA7;CASP8;CCR5;IRAK1;PAK3;SKP1;PIK3R3;IKBKG;GNAI2;MAP2K2;IFNA16;BTRC;PLCG2;CRK;BAK1;FASLG;PLCG1;GNAI1;IFNA10;MYD88;PIK3R2;IRF3;SAMHD1;CDC25C;GNB2;APOBEC3A;TBK1;HLA-B;MAP2K7;FOS;PRKCA;TRAF2;PPP3CC;HRAS;ATM;IFNB1;BST2;PXN;PIK3R1;RAC3;GNGT2;PIK3CB;CD3E;IFNA8;CALM3;CHUK;RIPK1;PAK2;LIMK2;PPP3R2;ITPR2;PAK1;AKT3;PPP3CB;TRADD;APOBEC3B;APOBEC3H;IRAK4;CD3D;IFNA14;CYCS
Regulation of actin cytoskeleton,0.22253880671063295,1.7033295923100014,0.0,0.023502113535708156,214,139,MAP2K1;ARAF;BRAF;MAPK1;ITGAE;KRAS;BDKRB2;CRKL;RAF1;ARPC1B;EGFR;ITGA6;ITGB1;CHRM2;PDGFRA;ITGB4;ITGAV;CHRM5;KNG1;FGFR2;RDX;ITGB5;BCAR1;SRC;VAV3;WASL;NRAS;FGFR3;SLC9A1;RHOA;INSRR;MYLK4;RAC1;MYL9;CXCR4;ITGB8;CDC42;PTK2;RRAS2;ITGA1;LIMK1;PPP1CA;ITGB2;FGF1;ARPC3;CXCL12;ARHGEF6;FGFR1;PIK3CA;ACTB;LPAR5;ITGAD;PIP5K1B;GNG12;INS;PIP5K1A;CFL1;ITGA3;MYLK2;PAK4;PIK3CD;ITGA2B;MAPK3;PIP4K2B;FGF2;ITGA2;PDGFRB;FN1;PAK3;PIP4K2C;PDGFC;PIK3R3;VAV1;MAP2K2;CRK;PIKFYVE;WAS;F2R;ITGB7;ROCK1;PIK3R2;LPAR1;ARHGAP35;ARHGEF7;ITGA4;ITGAM;ARPC2;HRAS;ITGA8;PXN;PIK3R1;RAC3;NCKAP1L;PIK3CB;TMSB4X;PIP5K1C;PAK2;MYLK;LIMK2;GNA12;PIP4K2A;PAK1;ITGAL;GSN;MOS;APC;LPAR2;CHRM3;GNA13;CHRM1;ARPC4;TIAM1;ACTN4;SOS2;ITGAX;ARPC1A;FGF10;FGF9;ACTN1;PPP1CC;ROCK2;IQGAP1;MYLK3;F2;ARPC5;PDGFD;EGF;ITGB3;FGFR4;ARHGEF12;PFN2;ITGA11;LPAR4;SOS1;PAK5;ACTG1;GIT1;SPATA13;PAK6,MAP2K1;ARAF;BRAF;MAPK1;ITGAE;KRAS;BDKRB2;CRKL;RAF1;ARPC1B;EGFR;ITGA6;ITGB1;CHRM2;PDGFRA;ITGB4;ITGAV;CHRM5;KNG1;FGFR2;RDX;ITGB5;BCAR1;SRC;VAV3;WASL;NRAS;FGFR3;SLC9A1;RHOA;INSRR;MYLK4;RAC1;MYL9;CXCR4;ITGB8;CDC42;PTK2;RRAS2;ITGA1;LIMK1;PPP1CA;ITGB2;FGF1;ARPC3;CXCL12;ARHGEF6;FGFR1;PIK3CA;ACTB;LPAR5;ITGAD;PIP5K1B;GNG12;INS;PIP5K1A;CFL1;ITGA3
Cocaine addiction,0.2879494634726711,1.6998994933640912,0.02040816326530612,0.02357076780758557,49,47,GRIN2A;ATF2;GRIN2B;GNAI3;NFKB1;CREB3;PRKACG;CREB3L2;CDK5;SLC18A1;DRD2;PRKACB;GPSM1;CREB1;GRIN2C;ADCY5;RELA;JUN;GRIN1;GNAS;PPP1R1B;SLC18A2;GRM3;TH;DRD1;GRIA2;DDC;GNAI2;CREB3L4;SLC6A3;GNAI1;PRKACA;GRIN2D;ATF4;GRM2;MAOA;DLG4;GRIN3A;CREB3L1;MAOB;ATF6B;GRIN3B;CDK5R1;FOSB;BDNF;CREB5;RGS9,GRIN2A;ATF2;GRIN2B;GNAI3;NFKB1;CREB3;PRKACG;CREB3L2;CDK5;SLC18A1;DRD2;PRKACB;GPSM1;CREB1;GRIN2C;ADCY5;RELA;JUN;GRIN1;GNAS;PPP1R1B;SLC18A2;GRM3;TH;DRD1;GRIA2;DDC;GNAI2;CREB3L4;SLC6A3;GNAI1;PRKACA
HIF-1 signaling pathway,0.2483825079950406,1.6951331998404213,0.01020408163265306,0.024241262539134882,100,89,AKT1;MAP2K1;MAPK1;EGLN3;EGFR;HIF1A;LTBR;EPO;CUL2;RPS6KB2;PRKCB;ERBB2;CREBBP;NFKB1;EP300;MTOR;PIK3CA;SERPINE1;PRKCG;EIF4E;RPS6KB1;RELA;INS;ARNT;VHL;RPS6;TEK;STAT3;ENO1;BCL2;PDHB;PIK3CD;TLR4;TFRC;MAPK3;IL6R;IFNGR1;CDKN1A;IL6;HMOX1;IGF1;CAMK2A;TIMP1;PFKFB3;PIK3R3;IFNGR2;MAP2K2;CYBB;PLCG2;CDKN1B;VEGFA;SLC2A1;PLCG1;GAPDH;PGK1;PIK3R2;FLT1;MKNK1;HK1;CAMK2G;MKNK2;LDHA;PDHA1;PRKCA;HKDC1;PIK3R1;PIK3CB;NOS2;IGF1R;AKT3;IFNG;PDK1;HK3;EDN1;EGF;ALDOA;EGLN1;CAMK2D;AKT2;PFKL;ANGPT1;EIF4EBP1;EGLN2;INSR;HK2;RBX1;NOS3;TF;CAMK2B,AKT1;MAP2K1;MAPK1;EGLN3;EGFR;HIF1A;LTBR;EPO;CUL2;RPS6KB2;PRKCB;ERBB2;CREBBP;NFKB1;EP300;MTOR;PIK3CA;SERPINE1;PRKCG;EIF4E;RPS6KB1;RELA;INS;ARNT;VHL;RPS6;TEK;STAT3;ENO1;BCL2;PDHB;PIK3CD;TLR4;TFRC;MAPK3;IL6R;IFNGR1;CDKN1A;IL6;HMOX1;IGF1;CAMK2A;TIMP1;PFKFB3;PIK3R3;IFNGR2;MAP2K2;CYBB;PLCG2;CDKN1B;VEGFA;SLC2A1;PLCG1;GAPDH;PGK1;PIK3R2;FLT1;MKNK1;HK1;CAMK2G;MKNK2;LDHA;PDHA1;PRKCA
Purine metabolism,0.23454694433019627,1.696996560382535,0.010101010101010102,0.024269794372508976,129,101,ADA2;AMPD2;ADSS;DCK;PAICS;GUCY2D;CANT1;GUCY2C;PFAS;PRPS1L1;GUCY2F;NT5E;PKM;RRM2;PAPSS1;GART;DGUOK;ADCY1;NME4;ATIC;ITPA;NME1-NME2;ADA;PDE3A;NT5C2;NME3;PDE4C;GUK1;AMPD1;ADCY5;IMPDH2;NT5C3A;AK3;PDE4D;ADCY9;IMPDH1;PDE1A;AK9;GMPR2;HPRT1;NUDT5;PDE4A;NME1;APRT;PPAT;PRUNE1;ADCY7;GMPS;ADK;AK2;PDE10A;RRM1;NTPCR;FHIT;PDE6G;PRPS2;PNP;ENTPD3;NME6;PDE7A;ADCY2;PAPSS2;PDE9A;PGM1;AK8;PDE7B;NME2;GMPR;XDH;ENTPD1;AK4;PDE1C;ENTPD2;PDE6A;PRPS1;PDE6B;PDE3B;PDE11A;ADCY3;GUCY1A2;NPR1;AK1;ADSSL1;ENTPD6;ENPP1;RRM2B;PDE5A;AK7;PDE4B;PKLR;PDE6H;PDE2A;NME7;PDE1B;ENPP3;NUDT9;PDE8A;AK5;ADSL;NPR2;ADCY6,ADA2;AMPD2;ADSS;DCK;PAICS;GUCY2D;CANT1;GUCY2C;PFAS;PRPS1L1;GUCY2F;NT5E;PKM;RRM2;PAPSS1;GART;DGUOK;ADCY1;NME4;ATIC;ITPA;NME1-NME2;ADA;PDE3A;NT5C2;NME3;PDE4C;GUK1;AMPD1;ADCY5;IMPDH2;NT5C3A;AK3;PDE4D;ADCY9;IMPDH1;PDE1A;AK9;GMPR2;HPRT1;NUDT5;PDE4A;NME1;APRT;PPAT;PRUNE1;ADCY7;GMPS;ADK;AK2;PDE10A;RRM1;NTPCR;FHIT;PDE6G;PRPS2;PNP;ENTPD3;NME6;PDE7A;ADCY2;PAPSS2;PDE9A;PGM1;AK8;PDE7B;NME2;GMPR;XDH;ENTPD1;AK4;PDE1C;ENTPD2;PDE6A;PRPS1;PDE6B;PDE3B;PDE11A;ADCY3;GUCY1A2;NPR1;AK1;ADSSL1;ENTPD6;ENPP1;RRM2B
Retrograde endocannabinoid signaling,0.23389146847686332,1.6911568797775283,0.0,0.024332949971247842,148,117,GNG4;MAPK1;GNB4;NDUFA1;ITPR1;MAPK12;GNG5;MAPK14;NDUFS6;FAAH;PRKCB;NDUFB3;NDUFA4;GNAI3;MGLL;GABRR1;PRKACG;NDUFA9;MAPK9;ADCY1;NDUFA12;GNG7;NDUFAB1;GABRG3;MAPK13;MAPK8;CACNA1S;MAPK11;NDUFC1;PRKACB;GABRA1;PLCB3;CACNA1F;PRKCG;GNB5;NDUFA8;ADCY5;GNG12;NDUFA13;DAGLB;GABRA4;ADCY9;NDUFB7;NDUFC2;CACNA1C;NDUFS5;GNG11;MAPK3;NDUFB9;NDUFB10;NDUFV2;NDUFB6;ADCY7;NDUFA3;NDUFS2;GABRQ;NDUFB2;NDUFB1;GRIA2;GABRR2;GNAI2;GABRA3;NDUFV1;GABRD;GRIA1;PLCB1;GNAI1;CNR1;PRKACA;DAGLA;GABRA5;SLC32A1;GNB2;NDUFA4L2;GABRG1;ADCY2;GRM5;NDUFA5;NDUFB5;NDUFS1;PRKCA;ABHD6;GABRB1;GNGT2;GRM1;NDUFA7;GABRB2;NDUFS7;NDUFA2;ADCY3;NDUFS4;ITPR2;KCNJ6;NDUFS3;ITPR3;GABRA2;GABRR3;CACNA1D;KCNJ5;CACNA1A;NDUFB4;PTGS2;NDUFB8;GNB1;GRIA4;GABRE;GABRG2;GABRA6;GNAQ;GABRP;NDUFA6;GNG8;PLCB4;ADCY6;NDUFS8;GABRB3;MAPK10,GNG4;MAPK1;GNB4;NDUFA1;ITPR1;MAPK12;GNG5;MAPK14;NDUFS6;FAAH;PRKCB;NDUFB3;NDUFA4;GNAI3;MGLL;GABRR1;PRKACG;NDUFA9;MAPK9;ADCY1;NDUFA12;GNG7;NDUFAB1;GABRG3;MAPK13;MAPK8;CACNA1S;MAPK11;NDUFC1;PRKACB;GABRA1;PLCB3;CACNA1F;PRKCG;GNB5;NDUFA8;ADCY5;GNG12;NDUFA13;DAGLB;GABRA4;ADCY9;NDUFB7;NDUFC2;CACNA1C;NDUFS5;GNG11;MAPK3;NDUFB9;NDUFB10;NDUFV2;NDUFB6;ADCY7;NDUFA3;NDUFS2;GABRQ;NDUFB2;NDUFB1;GRIA2;GABRR2;GNAI2;GABRA3;NDUFV1;GABRD;GRIA1;PLCB1;GNAI1;CNR1;PRKACA;DAGLA;GABRA5;SLC32A1;GNB2;NDUFA4L2;GABRG1;ADCY2;GRM5;NDUFA5;NDUFB5;NDUFS1;PRKCA;ABHD6;GABRB1;GNGT2;GRM1;NDUFA7;GABRB2;NDUFS7;NDUFA2
Signaling pathways regulating pluripotency of stem cells,0.2450113565504607,1.6918100020347875,0.0,0.024361532997327743,139,114,AKT1;MAP2K1;GRB2;MAPK1;KRAS;RAF1;WNT2;SOX2;WNT11;ID1;SMAD3;IL6ST;FGFR2;OTX1;NANOG;MAPK12;REST;MAPK14;NRAS;CTNNB1;MYC;FGFR3;SMAD4;FZD5;TBX3;HESX1;SMARCAD1;WNT1;WNT5A;FZD8;PCGF5;AXIN1;BMI1;ACVR1B;SETDB1;MAPK13;ACVR2A;FGFR1;PIK3CA;AXIN2;MAPK11;WNT9A;DVL1;DVL3;SMAD1;JAK1;STAT3;ID2;GSK3B;ID3;PIK3CD;MAPK3;FGF2;ZFHX3;KLF4;SMAD2;IGF1;PIK3R3;ACVR1;ESRRB;MAP2K2;SKIL;SMAD5;BMPR1B;FZD7;ID4;LIF;PIK3R2;FZD10;PCGF3;BMPR2;JAK3;INHBE;FZD2;WNT10B;KAT6A;ISL1;INHBC;HRAS;BMP4;PCGF2;PIK3R1;POU5F1;WNT3;PIK3CB;WNT9B;FZD9;IGF1R;FZD4;BMPR1A;AKT3;FZD6;APC;FZD1;JAK2;WNT7A;PAX6;LIFR;AKT2;ACVR1C;DVL2;PCGF6;ACVR2B;FGFR4;FZD3;TCF3;HNF1A;PCGF1;DUSP9;WNT7B;HAND1;ZIC3;NEUROG1;SMAD9,AKT1;MAP2K1;GRB2;MAPK1;KRAS;RAF1;WNT2;SOX2;WNT11;ID1;SMAD3;IL6ST;FGFR2;OTX1;NANOG;MAPK12;REST;MAPK14;NRAS;CTNNB1;MYC;FGFR3;SMAD4;FZD5;TBX3;HESX1;SMARCAD1;WNT1;WNT5A;FZD8;PCGF5;AXIN1;BMI1;ACVR1B;SETDB1;MAPK13;ACVR2A;FGFR1;PIK3CA;AXIN2;MAPK11;WNT9A;DVL1;DVL3;SMAD1;JAK1;STAT3;ID2;GSK3B;ID3;PIK3CD;MAPK3;FGF2;ZFHX3;KLF4;SMAD2;IGF1;PIK3R3;ACVR1;ESRRB;MAP2K2;SKIL;SMAD5;BMPR1B;FZD7;ID4;LIF;PIK3R2;FZD10;PCGF3;BMPR2;JAK3;INHBE;FZD2;WNT10B;KAT6A;ISL1;INHBC;HRAS;BMP4;PCGF2;PIK3R1;POU5F1;WNT3;PIK3CB;WNT9B;FZD9
Hepatocellular carcinoma,0.2228202636008497,1.6906707560492764,0.0,0.024391333482242577,168,146,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;TP53;KRAS;RAF1;TGFBR2;EGFR;WNT2;TGFB1;WNT11;BCL2L1;SMAD3;GADD45A;CDK4;CDK6;GSTP1;CCND1;SMARCB1;GSTA2;NRAS;CTNNB1;MYC;RPS6KB2;SMAD4;PRKCB;KEAP1;FZD5;TCF7;SHC4;WNT1;DPF3;WNT5A;SHC1;FZD8;TGFB2;AXIN1;MTOR;GSTA3;GSTM1;CSNK1A1;PIK3CA;AXIN2;ACTB;E2F1;WNT9A;PRKCG;DVL1;DVL3;RPS6KB1;ARID1A;GSTA5;BAX;BAD;NFE2L2;ELK1;FRAT2;GSK3B;SMARCA2;PIK3CD;FRAT1;MAPK3;GSTM4;CDKN1A;TCF7L2;MET;PTEN;RB1;GADD45B;HMOX1;MGST1;SMAD2;TGFB3;TGFBR1;LEF1;PIK3R3;LRP6;MAP2K2;PBRM1;GSTM5;PLCG2;FZD7;BAK1;BRD7;PLCG1;PIK3R2;FZD10;SMARCA4;DDB2;FZD2;TXNRD2;WNT10B;SMARCE1;PRKCA;HRAS;PIK3R1;WNT3;TXNRD1;TGFA;PIK3CB;WNT9B;FZD9;GSTA1;IGF1R;FZD4;SMARCD1;DPF1;MGST2;IGF2;AKT3;TCF7L1;FZD6;APC;SMARCC2;FZD1;GSTO1;SOS2;SMARCD2;CSNK1A1L;ARID2;E2F3;PHF10;WNT7A;GSTA4;ACTL6A;TXNRD3;GSTO2;NQO1;ARID1B;AKT2;DVL2;GSTT1;CDKN2A;FZD3;GSTM3;GAB1;TERT;SOS1;LRP5;GSTM2;SMARCC1;WNT7B;ACTG1,AKT1;MAP2K1;ARAF;GRB2;BRAF;MAPK1;TP53;KRAS;RAF1;TGFBR2;EGFR;WNT2;TGFB1;WNT11;BCL2L1;SMAD3;GADD45A;CDK4;CDK6;GSTP1;CCND1;SMARCB1;GSTA2;NRAS;CTNNB1;MYC;RPS6KB2;SMAD4;PRKCB;KEAP1;FZD5;TCF7;SHC4;WNT1;DPF3;WNT5A;SHC1;FZD8;TGFB2;AXIN1;MTOR;GSTA3;GSTM1;CSNK1A1;PIK3CA;AXIN2;ACTB;E2F1;WNT9A;PRKCG;DVL1;DVL3;RPS6KB1;ARID1A;GSTA5;BAX;BAD;NFE2L2;ELK1;FRAT2;GSK3B;SMARCA2;PIK3CD;FRAT1;MAPK3;GSTM4;CDKN1A;TCF7L2;MET;PTEN;RB1;GADD45B;HMOX1;MGST1;SMAD2;TGFB3;TGFBR1
Linoleic acid metabolism,0.4140693846174309,1.6919154678725072,0.03488372093023256,0.024479293574136703,29,17,PLA2G2D;CYP2C19;PLA2G4A;CYP2C8;ALOX15;CYP2E1;CYP2C9;JMJD7-PLA2G4B;PLA2G12B;PLA2G12A;PLA2G2E;PLA2G2A;CYP3A4;CYP1A2;PLA2G6;PLA2G1B;PLA2G2C,PLA2G2D;CYP2C19;PLA2G4A;CYP2C8;ALOX15;CYP2E1;CYP2C9;JMJD7-PLA2G4B;PLA2G12B;PLA2G12A;PLA2G2E;PLA2G2A;CYP3A4;CYP1A2;PLA2G6;PLA2G1B
